City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,El Grullo,MX,2021-07-21 15:15:47,19.8,-104.2167,75.25,82,33,2.17
68,Karratha,AU,2021-07-21 15:15:48,-20.7377,116.8463,73.54,79,10,10.02
69,Bethel,US,2021-07-21 15:15:48,41.3712,-73.414,80.56,76,40,4.61
70,Te Anau,NZ,2021-07-21 15:15:49,-45.4167,167.7167,44.04,96,100,2.93
71,Gillette,US,2021-07-21 15:15:49,44.2911,-105.5022,76.8,54,1,7.0
72,Nikolskoye,RU,2021-07-21 15:15:50,59.7035,30.7861,68.4,35,64,11.23
73,Usinsk,RU,2021-07-21 15:15:50,65.9939,57.5281,65.34,55,81,5.08
74,Crib Point,AU,2021-07-21 15:15:51,-38.35,145.2,49.91,93,45,10.89
75,Diamantino,BR,2021-07-21 15:12:57,-14.4086,-56.4461,87.94,15,3,5.75
76,Redmond,US,2021-07-21 15:12:10,47.674,-122.1215,60.53,76,96,3.0
77,Iquitos,PE,2021-07-21 15:15:52,-3.7481,-73.2472,82.44,69,75,10.36
78,Tiarei,PF,2021-07-21 15:15:52,-17.5333,-149.3333,73.42,79,34,19.73
79,Palmer,US,2021-07-21 15:15:53,42.1584,-72.3287,78.48,63,75,1.01
80,Qaanaaq,GL,2021-07-21 15:15:53,77.484,-69.3632,36.7,99,100,12.19
81,Tiksi,RU,2021-07-21 15:15:54,71.6872,128.8694,38.71,92,87,3.04
82,Bengkulu,ID,2021-07-21 15:15:54,-3.8004,102.2655,77.41,88,97,4.25
83,Suntar,RU,2021-07-21 15:15:54,62.1444,117.6319,64.0,74,71,4.9
84,Marzuq,YE,2021-07-21 15:15:55,14.4,46.4667,78.39,63,67,11.61
85,Lavrentiya,RU,2021-07-21 15:15:55,65.5833,-171.0,41.02,87,100,5.03
86,Atuona,PF,2021-07-21 15:15:56,-9.8,-139.0333,77.32,68,84,20.13
87,Guerrero,MX,2021-07-21 15:15:56,17.6667,-100.0,71.38,89,100,2.35
88,Charlottesville,US,2021-07-21 15:15:55,38.0293,-78.4767,89.1,52,1,5.99
89,Bredasdorp,ZA,2021-07-21 15:15:57,-34.5322,20.0403,49.32,66,100,12.66
90,Luanda,AO,2021-07-21 15:14:25,-8.8368,13.2343,73.67,71,3,14.99
91,Tasiilaq,GL,2021-07-21 15:15:58,65.6145,-37.6368,44.76,94,98,2.68
92,Minna,NG,2021-07-21 15:15:58,9.6139,6.5569,79.77,79,94,6.8
93,Saldanha,ZA,2021-07-21 15:15:59,-33.0117,17.9442,55.45,67,70,24.05
94,Kurmanayevka,RU,2021-07-21 15:15:59,52.5093,52.0675,86.29,39,7,4.56
95,Lagoa,PT,2021-07-21 15:16:00,39.05,-27.9833,67.44,73,46,16.58
96,Dodoma,TZ,2021-07-21 15:11:49,-6.1722,35.7395,78.35,36,25,9.93
97,Cedar City,US,2021-07-21 15:16:00,37.6775,-113.0619,76.39,49,40,9.22
98,Turukhansk,RU,2021-07-21 15:16:01,65.8167,87.9833,59.9,60,0,3.53
99,Freeport,US,2021-07-21 15:12:39,40.6576,-73.5832,84.58,60,1,1.99
100,Bud,US,2021-07-21 15:16:02,39.447,-86.1758,77.7,79,34,7.4
101,Richards Bay,ZA,2021-07-21 15:16:02,-28.783,32.0377,64.94,72,18,10.98
102,Kieta,PG,2021-07-21 15:16:03,-6.2167,155.6333,78.53,86,68,5.97
103,Ketchikan,US,2021-07-21 15:16:04,55.3422,-131.6461,55.87,100,90,4.61
104,Lufkin,US,2021-07-21 15:16:05,31.3382,-94.7291,82.83,77,1,5.75
105,Mataram,ID,2021-07-21 15:16:05,-8.5833,116.1167,76.01,82,49,6.96
106,Athabasca,CA,2021-07-21 15:15:07,54.7169,-113.2854,65.1,60,38,5.44
107,New Norfolk,AU,2021-07-21 15:16:06,-42.7826,147.0587,48.65,74,90,1.01
108,Saint-Philippe,RE,2021-07-21 15:16:06,-21.3585,55.7679,69.39,85,43,17.56
109,Manor,IN,2021-07-21 15:16:07,19.75,72.9167,80.58,87,100,18.25
110,Merritt Island,US,2021-07-21 15:16:07,28.5392,-80.672,90.14,72,1,8.05
111,Lorengau,PG,2021-07-21 15:16:08,-2.0226,147.2712,81.63,73,100,3.94
112,Provideniya,RU,2021-07-21 15:16:08,64.3833,-173.3,42.44,79,100,7.27
113,Kavieng,PG,2021-07-21 15:16:09,-2.5744,150.7967,81.77,79,98,10.56
114,Teguise,ES,2021-07-21 15:16:10,29.0605,-13.564,73.62,61,20,26.46
115,Salalah,OM,2021-07-21 15:11:50,17.0151,54.0924,80.69,89,75,5.75
116,Okato,NZ,2021-07-21 15:16:10,-39.2,173.8833,54.43,94,100,12.95
117,Inhambane,MZ,2021-07-21 15:16:11,-23.865,35.3833,74.66,61,19,7.81
118,Russkaya Polyana,UA,2021-07-21 15:16:11,49.417,31.9201,69.94,80,100,15.21
119,Nantucket,US,2021-07-21 15:12:48,41.2835,-70.0995,82.26,92,75,9.22
120,Anaco,VE,2021-07-21 15:16:12,9.4389,-64.4728,87.13,49,95,10.96
121,Cap Malheureux,MU,2021-07-21 15:16:12,-19.9842,57.6142,72.09,74,91,8.01
122,Hobyo,SO,2021-07-21 15:16:13,5.3505,48.5268,79.25,76,69,27.85
123,Yagodnoye,RU,2021-07-21 15:16:13,62.55,149.6667,59.77,88,100,2.66
124,Hasaki,JP,2021-07-21 15:16:14,35.7333,140.8333,75.49,87,6,5.17
125,Almeirim,BR,2021-07-21 15:16:15,-1.5233,-52.5817,87.46,57,14,6.26
126,Taoudenni,ML,2021-07-21 15:16:15,22.6783,-3.9836,119.66,5,84,10.33
127,Karwar,IN,2021-07-21 15:16:16,14.8,74.1333,78.39,84,100,18.63
128,Khatanga,RU,2021-07-21 15:16:16,71.9667,102.5,55.09,90,100,6.4
129,Tura,IN,2021-07-21 15:16:17,25.5198,90.2201,78.21,91,100,2.17
130,Shushtar,IR,2021-07-21 15:16:17,32.0455,48.8567,115.27,16,45,14.58
131,Mehamn,NO,2021-07-21 15:16:18,71.0357,27.8492,48.38,81,90,24.16
132,Capula,MX,2021-07-21 15:16:19,19.7,-101.8,53.51,88,100,2.28
133,Shushenskoye,RU,2021-07-21 15:16:19,53.325,91.9356,64.08,89,99,4.21
134,Esil,KZ,2021-07-21 15:16:20,51.9556,66.4042,77.72,43,11,3.78
135,Posse,BR,2021-07-21 15:16:21,-14.0931,-46.3694,84.07,28,0,8.43
136,Kavaratti,IN,2021-07-21 15:16:21,10.5669,72.642,82.38,82,100,19.33
137,Biak,ID,2021-07-21 15:16:22,-0.9131,122.8766,74.98,90,100,8.48
138,Cidreira,BR,2021-07-21 15:16:22,-30.1811,-50.2056,60.4,46,0,8.99
139,Kruisfontein,ZA,2021-07-21 15:16:23,-34.0033,24.7314,51.89,82,65,29.15
140,Takoradi,GH,2021-07-21 15:16:23,4.8845,-1.7554,79.77,67,78,9.44
141,Ostrovnoy,RU,2021-07-21 15:16:24,68.0531,39.5131,49.41,73,99,18.59
142,Zaraza,VE,2021-07-21 15:16:24,9.3503,-65.3245,89.01,48,74,10.11
143,Mayumba,GA,2021-07-21 15:16:24,-3.432,10.6554,75.81,76,41,11.07
144,Luderitz,NA,2021-07-21 15:16:25,-26.6481,15.1594,63.99,33,0,27.69
145,Goderich,CA,2021-07-21 15:16:25,43.7501,-81.7165,70.12,49,0,9.22
146,Xuddur,SO,2021-07-21 15:16:26,4.1213,43.8894,82.49,47,92,21.41
147,Shenjiamen,CN,2021-07-21 15:16:26,29.9576,122.298,79.32,86,0,18.95
148,Sergeyevka,KZ,2021-07-21 15:16:27,53.88,67.4158,73.9,56,16,5.68
149,Jamestown,US,2021-07-21 15:15:58,42.097,-79.2353,66.02,91,90,7.0
150,Pevek,RU,2021-07-21 15:16:27,69.7008,170.3133,38.44,68,12,0.94
151,Westport,US,2021-07-21 15:16:28,41.1415,-73.3579,83.8,67,20,1.01
152,Nioro,GM,2021-07-21 15:16:28,13.35,-15.75,89.55,57,95,6.85
153,Bocana De Paiwas,NI,2021-07-21 15:16:29,12.7857,-85.1227,77.25,90,79,14.34
154,Qovlar,AZ,2021-07-21 15:16:29,40.948,45.735,92.25,25,11,11.34
155,Buraydah,SA,2021-07-21 15:13:33,26.326,43.975,111.24,9,20,11.7
156,Coquimbo,CL,2021-07-21 15:16:30,-29.9533,-71.3436,49.73,87,40,4.61
157,Ormara,PK,2021-07-21 15:16:30,25.2088,64.6357,83.35,89,61,18.19
158,Rabo De Peixe,PT,2021-07-21 15:16:31,37.8,-25.5833,71.11,78,20,16.11
159,Ampanihy,MG,2021-07-21 15:16:32,-24.7,44.75,80.76,37,66,5.48
160,Sangar,RU,2021-07-21 15:16:32,63.9242,127.4739,56.91,83,21,6.46
161,Lagdo,CM,2021-07-21 15:16:33,9.05,13.7333,86.27,61,94,3.47
162,Pathein,MM,2021-07-21 15:16:33,16.7833,94.7333,78.35,91,100,15.26
163,Sfantu Gheorghe,RO,2021-07-21 15:12:06,45.8667,25.7833,65.57,77,55,11.99
164,Cascas,PE,2021-07-21 15:16:34,-7.4833,-78.8167,78.58,32,0,3.51
165,Mirabad,AF,2021-07-21 15:16:34,30.4362,61.8383,100.29,11,0,30.53
166,Aripuana,BR,2021-07-21 15:16:35,-9.1667,-60.6333,90.95,25,0,4.99
167,Aykhal,RU,2021-07-21 15:16:35,66.0,111.5,58.32,90,100,6.62
168,Valle De Allende,MX,2021-07-21 15:16:35,26.9333,-105.4,70.25,62,0,5.53
169,Vardo,NO,2021-07-21 15:16:36,70.3705,31.1107,52.0,61,75,20.71
170,Cabo San Lucas,MX,2021-07-21 15:16:37,22.8909,-109.9124,92.8,68,58,1.01
171,Chuy,UY,2021-07-21 15:16:37,-33.6971,-53.4616,54.54,58,3,7.49
172,Ambon,ID,2021-07-21 15:16:38,-3.6954,128.1814,79.05,84,100,9.86
173,Ilulissat,GL,2021-07-21 15:16:38,69.2167,-51.1,48.22,66,40,3.44
174,Vao,NC,2021-07-21 15:16:39,-22.6667,167.4833,68.92,74,100,13.47
175,Preobrazheniye,RU,2021-07-21 15:16:39,42.9019,133.9064,72.64,95,47,4.14
176,Sayyan,YE,2021-07-21 15:16:39,15.1718,44.3244,61.68,82,99,8.19
177,Avarua,CK,2021-07-21 15:16:40,-21.2078,-159.775,75.25,94,20,5.75
178,Portland,US,2021-07-21 15:12:06,45.5234,-122.6762,62.74,75,20,1.01
179,Dudinka,RU,2021-07-21 15:16:41,69.4058,86.1778,61.81,53,26,7.14
180,Taungdwingyi,MM,2021-07-21 15:16:41,20.0167,95.55,76.75,91,100,15.37
181,Bathsheba,BB,2021-07-21 15:16:42,13.2167,-59.5167,86.61,70,40,23.02
182,Hambantota,LK,2021-07-21 15:16:42,6.1241,81.1185,81.46,74,100,20.51
183,Padang,ID,2021-07-21 15:16:43,-0.9492,100.3543,77.05,86,97,3.0
184,Diban,SY,2021-07-21 15:16:43,35.0365,40.5167,104.67,12,0,12.37
185,Souillac,MU,2021-07-21 15:16:44,-20.5167,57.5167,71.98,73,40,16.11
186,Hay River,CA,2021-07-21 15:16:44,60.8156,-115.7999,62.58,82,75,5.75
187,Greymouth,NZ,2021-07-21 15:16:45,-42.4667,171.2,50.81,93,87,10.31
188,Vila Velha,BR,2021-07-21 15:16:45,-20.3297,-40.2925,75.15,58,40,8.05
189,Rawson,AR,2021-07-21 15:16:46,-43.3002,-65.1023,53.38,65,100,17.6
190,Calama,CL,2021-07-21 15:14:25,-22.4667,-68.9333,68.49,9,2,14.97
191,Najran,SA,2021-07-21 15:16:46,17.4924,44.1277,83.05,50,100,14.56
192,Nara,JP,2021-07-21 15:16:47,34.6851,135.8049,79.25,94,23,3.69
193,Victoria,HK,2021-07-21 15:13:03,22.2855,114.1577,82.96,91,100,7.0
194,Humaita,BR,2021-07-21 15:16:47,-7.5061,-63.0208,89.94,33,0,4.38
195,Upernavik,GL,2021-07-21 15:16:48,72.7868,-56.1549,42.8,74,68,3.56
196,Gamba,GA,2021-07-21 15:16:48,-2.65,10.0,77.36,70,55,11.41
197,Thiruvananthapuram,IN,2021-07-21 15:16:49,8.4833,76.9167,82.38,94,40,6.91
198,Troyes,FR,2021-07-21 15:16:49,48.3333,4.0833,84.25,34,0,8.05
199,Cervo,ES,2021-07-21 15:16:50,43.6702,-7.4101,68.97,81,55,6.67
200,Sinnamary,GF,2021-07-21 15:16:50,5.3833,-52.95,86.04,64,48,8.52
201,Zunyi,CN,2021-07-21 15:16:51,27.6867,106.9072,71.69,91,40,3.13
202,Nemuro,JP,2021-07-21 15:16:52,43.3236,145.575,59.61,95,100,3.56
203,Mitu,CO,2021-07-21 15:16:07,1.1983,-70.1733,72.84,94,98,2.37
204,Clyde River,CA,2021-07-21 15:16:52,70.4692,-68.5914,43.03,75,75,10.36
205,Novo Aripuana,BR,2021-07-21 15:16:53,-5.1206,-60.3797,93.79,37,7,1.32
206,Cherskiy,RU,2021-07-21 15:16:53,68.75,161.3,47.62,63,45,4.83
207,Bireun,ID,2021-07-21 15:16:54,5.203,96.7009,79.92,80,98,4.54
208,Pitimbu,BR,2021-07-21 15:16:55,-7.4706,-34.8086,79.39,76,12,14.5
209,Vagur,FO,2021-07-21 15:16:55,61.4732,-6.8119,51.12,93,6,18.72
210,Port Hedland,AU,2021-07-21 15:16:56,-20.3167,118.5667,71.65,94,16,10.36
211,Saint-Augustin,CA,2021-07-21 15:16:56,51.226,-58.6502,63.81,59,99,10.71
212,The Valley,AI,2021-07-21 15:15:33,18.217,-63.0578,85.86,70,40,16.11
213,North Myrtle Beach,US,2021-07-21 15:16:10,33.816,-78.68,82.26,84,75,4.0
214,Thompson,CA,2021-07-21 15:16:58,55.7435,-97.8558,68.16,64,75,8.05
215,Broome,US,2021-07-21 15:16:58,42.2506,-75.833,68.9,88,90,1.01
216,Sitka,US,2021-07-21 15:16:58,57.0531,-135.33,55.29,88,75,5.75
217,Bereznik,RU,2021-07-21 15:16:59,62.8551,42.7072,64.63,31,53,10.0
218,Sisimiut,GL,2021-07-21 15:16:59,66.9395,-53.6735,45.99,77,44,9.15
219,Vila Franca Do Campo,PT,2021-07-21 15:17:00,37.7167,-25.4333,72.01,65,30,10.6
220,Tatarka,RU,2021-07-21 15:17:00,44.9589,41.9517,93.02,37,3,0.72
221,Hays,US,2021-07-21 15:17:01,30.0502,-98.0336,83.68,84,78,8.43
222,Santa Cruz Del Sur,CU,2021-07-21 15:17:01,20.7147,-77.9956,85.46,70,3,8.88
223,Labuhan,ID,2021-07-21 15:17:02,-6.8844,112.2051,79.56,77,41,5.14
224,Verkhoyansk,RU,2021-07-21 15:17:02,67.5447,133.385,58.1,65,100,6.51
